#,Country/territory,Date of first store,First outlet location,No. ofoperatingoutlets,Source and date of source,Population per outlet,Notes
59,Brunei,"December 13, 1992","Mission Hill Road,Bandar Seri Begawan",7,"(source: Corporate McDonald's December 31, 2025)[5]","67.0,111",SeeMcDonald's Brunei
60,Morocco,"December 18, 1992",Casablanca,79,"(source: Corporate McDonald's December 31, 2025)[5]","490.0,664",First outlet inAfricaand the first outlet in theArab World; McDonald's is now present in all continents exceptAntarctica. SeeMcDonald's Morocco
61,Northern Mariana Islands(territory of United States),"March 18, 1993",Saipan,2,(source:McDonald's US 2024),"21.0,457",First outlet opened on the island ofSaipan; second outlet opened in 1997
62,Israel(details),"October 14, 1993","Ayalon Mall,Ramat Gan",235,"(source: Corporate McDonald's December 31, 2025)[5]",41.0000054,First outlet in theMiddle East. SeeMcDonald's Israel.
63,Slovenia,"December 2, 1993","Čopova Street,Ljubljana",29,"(source: Corporate McDonald's December 31, 2025)[5]","72.0,916",SeeMcDonald's Slovenia
64,Saudi Arabia,"December 8, 1993",Riyadh,458,"(source: Corporate McDonald's December 31, 2025)[5]","76.0,781","Home to the most McDonald's in theMiddle East. First outlet in theArabian Peninsula. SeeMcDonalds's Central, Eastern and Northern.SeeMcDonald's Western and Southern"
65,Kuwait,"June 15, 1994",Kuwait City(now closed),89,"(source: Corporate McDonald's December 31, 2025)[5]","57.0,335",Home to the biggest McDonald's in the Middle East.[40]SeeMcDonald's KuwaitThe firstMcDonald'sinKuwaitclosed after 25 years of service due to an expired contract betweenMcDonald'sand theTouristic Enterprises Company[41]SeeMcDonald's Kuwait[dead link]
66,New Caledonia(territory of France),"July 26, 1994",Nouméa,4,(source: McDonald's New Caledonia 2025)[42],"74.0,473",SeeMcDonald's New Caledonia
67,Oman,"July 30, 1994",Salalah,35,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,042",SeeMcDonald's Oman
68,Egypt,"October 20, 1994",Cairo,194,"(source: Corporate McDonald's December 31, 2025)[5]",619.0000078,SeeMcDonald's Egypt
69,Bulgaria,"December 10, 1994",Plovdiv,47,"(source: Corporate McDonald's December 31, 2025)[5]","141.0,865",SeeMcDonald's Bulgaria
70,Bahrain,"December 15, 1994",Manama,32,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,362",SeeMcDonald's Bahrain
71,Latvia,"December 15, 1994",Riga,14,"(source: Corporate McDonald's December 31, 2025)[5]","131.0,138",First outlet in thePost-Soviet areaafterRussia. SeeMcDonald's Latvia
72,United Arab Emirates,"December 21, 1994 (Dubai)June 10, 1995 (Abu Dhabi)",Dubai(1994)Abu Dhabi(1995)[43],222,"(source: Corporate McDonald's December 31, 2025)[5]","52.0,138",SeeMcDonald's UAE
73,Estonia,"April 29, 1995",Tallinn,11,"(source: Corporate McDonald's December 31, 2025)[5]",121.00000006,SeeMcDonald's Estonia
74,Romania,"June 16, 1995","Unirii Square,Bucharest[44]",114,"(source: Corporate McDonald's December 31, 2025)[5]","164.0,918",Locally nicknamed as Mec. SeeMcDonald's RomaniaArchived2020-01-09 at theWayback Machine
75,Malta,"July 7, 1995",Valletta,10,"(source: Corporate McDonald's December 31, 2025)[5]",54.00000001,SeeMcDonald's Malta
76,Colombia,"July 14, 1995","Centro Andino,Bogotá",73,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,852",SeeMcDonald's Colombia
77,Slovakia,"October 14, 1995",Banská Bystrica,54,"(source: Corporate McDonald's December 31, 2025)[5]","100.0,951",SeeMcDonald's Slovakia
78,South Africa,"November 11, 1995","Durban, KwaZulu-Natal",407,"(source: Corporate McDonald's December 31, 2025)[5]","160.0,818",First outlet inSub-Saharan AfricaandSouthern Africa. SeeMcDonald's South Africa
79,Qatar,"December 13, 1995",Doha,78,"(source: Corporate McDonald's December 31, 2025)[5]","40.0,687",SeeMcDonald's Qatar
80,Honduras,"December 14, 1995",Tegucigalpa,16,"(source: Corporate McDonald's December 31, 2025)[5]",699.0000048,SeeMcDonald's Honduras
81,Sint Maarten(part of Netherlands Antilles at the time),"December 15, 1995",Philipsburg,2,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,224",
82,Croatia,"February 2, 1996",Zagreb,49,"(source: Corporate McDonald's December 31, 2025)[5]",78.00000007,SeeMcDonald's Croatia
83,Samoa(namedWestern Samoaat the time),"March 2, 1996",Apia,1,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,528",Facebook
84,Fiji,"May 1, 1996",Suva,5,"(source: Corporate McDonald's December 31, 2025)[5]","187.0,456",SeeMcDonald's Fiji
85,Liechtenstein,"May 3, 1996",Triesen,1,(source: 2018),"40.0,368",SeeMcDonald's Switzerland
86,Lithuania,"June 11, 1996",Vilnius,19,"(source: Corporate McDonald's December 31, 2025)[5]","0.0,228",SeeMcDonald's Lithuania
